month,temp,wind,rh,dmc,dc,ffmc
jan,12,1.0,92,34,214,86
mar,28,2.4,39,32,177,75
mar,12,2.9,54,65,128,74
jan,30,1.5,44,79,205,74
may,17,0.9,74,25,158,85
aug,35,1.8,33,50,377,82
nov,28,0.8,27,62,195,81
jun,8,9.6,20,38,319,84
may,6,9.9,37,64,279,75
sep,33,1.2,57,73,255,72
oct,7,5.5,19,64,259,87
may,32,10.0,29,33,229,74
may,29,6.0,21,61,80,75
apr,36,6.3,43,36,134,73
may,31,6.0,76,73,393,87
jan,11,9.1,65,31,350,77
may,8,9.2,76,40,222,75
jan,13,2.3,49,33,372,75
jul,9,5.9,29,36,291,90
may,16,8.5,35,60,190,84
jun,22,6.4,26,48,251,75
jun,15,6.1,28,79,250,89
jul,19,5.6,48,46,117,84
oct,35,4.6,53,68,92,77
nov,8,3.5,70,39,198,77
dec,17,9.2,74,50,221,89
feb,32,2.2,60,69,171,83
nov,32,9.6,90,73,287,74
nov,9,6.5,48,39,135,89
may,20,7.0,64,48,276,84
jul,37,1.2,12,30,137,82
jun,31,6.7,27,73,348,89
dec,34,9.1,59,45,350,70
mar,15,8.7,71,72,285,76
jun,17,9.7,58,27,348,76
nov,10,6.6,79,48,115,81
mar,12,2.3,39,36,146,75
jul,36,8.0,26,77,212,87
mar,36,6.9,88,58,148,87
jun,15,3.5,23,28,168,81
apr,12,6.7,59,51,224,86
dec,28,5.6,22,67,362,81
nov,26,1.0,91,57,118,81
sep,19,9.8,79,60,154,90
feb,14,5.4,74,74,299,83
jul,36,2.3,22,77,249,86
jan,8,8.5,79,69,114,86
dec,26,9.4,38,33,95,90
feb,16,6.4,42,63,216,86
jun,35,8.0,61,25,297,85
dec,37,6.8,17,42,200,85
sep,7,7.3,33,45,159,84
apr,32,9.6,89,44,183,83
may,27,1.4,73,71,250,70
oct,27,3.1,71,52,261,88
jun,24,6.7,55,66,304,70
aug,12,2.3,65,28,325,85
mar,32,9.1,94,56,80,82
nov,13,6.0,53,78,363,88
dec,22,9.8,43,69,307,76
jan,36,7.0,52,26,263,76
aug,5,6.7,29,22,191,74
jul,25,8.5,74,65,292,78
oct,34,8.3,33,51,144,70
sep,34,6.2,86,20,273,75
nov,19,4.4,65,55,130,86
jan,24,7.6,81,25,370,84
may,34,3.1,49,78,331,86
oct,21,6.6,15,31,302,84
mar,19,5.4,84,56,175,74
feb,11,7.4,66,78,156,70
feb,9,9.9,89,47,246,86
jun,31,2.6,94,36,330,88
oct,22,3.6,52,47,199,75
feb,28,2.7,51,33,190,76
oct,7,5.3,34,30,202,86
dec,20,1.7,30,55,243,83
jul,17,8.6,69,57,348,90
mar,22,8.3,39,50,358,75
nov,6,4.2,71,49,389,83
jul,37,2.3,81,64,304,88
mar,27,9.4,11,57,266,86
may,22,7.8,69,24,172,73
sep,29,6.6,94,74,93,90
nov,10,3.4,56,57,264,81
jan,25,3.1,50,29,123,80
jul,33,7.6,73,37,361,88
aug,31,7.3,11,29,321,90
nov,10,1.5,67,40,300,82
mar,5,2.6,16,37,127,76
nov,30,8.8,77,68,194,86
jun,28,4.8,77,48,234,76
sep,11,7.0,10,58,124,77
apr,11,8.4,67,47,230,89
dec,26,4.2,69,44,303,70
aug,29,4.3,35,21,176,78
jun,15,6.3,16,21,90,90
nov,35,3.5,37,57,197,70
sep,7,6.4,22,26,249,79
feb,9,9.6,74,53,161,73
aug,15,1.9,35,71,302,83
oct,17,4.0,84,36,201,75
jul,13,3.5,79,53,170,83
dec,7,2.8,73,28,366,79
mar,12,4.8,64,28,105,72
nov,16,6.3,15,42,378,72
sep,32,9.7,16,33,265,77
jul,35,9.8,37,75,372,70
oct,20,3.5,67,32,88,84
nov,32,0.8,49,43,205,73
jun,27,3.0,16,27,356,90
sep,12,6.6,44,47,326,78
jun,6,6.0,80,78,349,71
jun,30,1.2,26,36,318,89
sep,37,9.4,21,72,132,74
sep,28,5.2,71,25,349,77
apr,6,7.0,66,41,118,85
jun,33,6.5,34,27,253,71
sep,17,9.0,51,80,393,76
feb,24,9.1,26,60,310,88
feb,12,6.9,92,31,149,83
apr,10,4.6,28,28,207,72
aug,22,5.5,38,76,263,75
dec,37,9.4,81,25,160,82
nov,18,8.2,20,62,123,73
aug,33,9.2,66,67,334,75
aug,18,5.8,33,63,281,82
oct,14,1.8,53,80,116,86
may,36,6.0,89,50,93,87
sep,5,4.8,48,70,229,88
mar,19,5.4,21,20,395,82
nov,7,6.5,62,26,348,88
sep,37,8.8,53,39,220,89
jun,24,1.8,66,62,157,72
dec,26,9.7,33,45,207,74
nov,10,8.4,51,33,261,72
aug,26,5.3,69,49,256,89
oct,6,4.2,83,23,358,77
nov,10,9.6,77,44,339,90
jun,17,9.3,10,52,243,79
sep,11,3.3,48,64,140,75
apr,23,3.3,89,47,132,77
oct,33,1.3,34,68,346,88
oct,22,5.0,34,32,305,82
may,28,1.3,22,66,271,89
apr,35,7.2,42,23,327,89
may,16,0.9,89,67,251,72
dec,16,7.4,75,20,285,78
nov,33,4.0,63,48,275,72
sep,20,2.2,39,30,240,85
feb,34,3.6,71,49,400,81
jul,7,9.6,20,28,221,74
jun,17,1.1,61,60,228,89
mar,7,4.6,74,62,116,83
sep,25,5.4,22,31,121,75
jan,13,9.5,52,30,328,81
jul,21,7.0,63,76,280,79
jan,36,9.6,19,24,133,82
sep,26,5.3,90,48,112,77
aug,23,7.6,38,57,339,82
dec,16,8.7,22,27,336,90
sep,16,9.1,18,42,345,74
feb,22,9.2,69,20,300,76
feb,15,5.9,94,22,325,70
feb,24,4.0,29,41,190,88
nov,6,2.4,20,40,251,85
mar,20,6.7,70,49,273,71
dec,8,8.9,67,61,359,85
dec,17,8.9,57,39,179,84
dec,32,2.6,27,38,130,84
mar,26,3.4,28,46,309,87
apr,24,4.6,34,55,292,83
jan,35,2.0,60,43,200,76
jan,34,8.1,40,30,172,76
apr,37,7.6,17,71,136,72
